u,index,original,predicted_stage3,stage4_valid,reduced_tokens,text
2,1933,1,1,0,text caps text caps text contact caps text,8007 GRATIS durante la primera semana! No1 Nokia tono 4 tu mafia todas las semanas solo envía un mensaje de texto a NOKIA al 8007 Recibe mensajes de texto y cuéntaselo a tus compañeros www.getzed.co.uk POBox 36504 W4 5WQ norma 150p/tono 16+
2,1948,0,1,0,caps caps caps text caps caps text caps text caps caps caps text caps text caps text caps text,PISS ESTÁ HABLANDO ES ALGUIEN QUE SE DA CUENTA DE ESE PUNTO ESO ES. (AHORA LÉALO AL REVÉS)
2,1955,1,1,0,text contact,"Gracias por tu pedido de tono de llamada, número de referencia X49. A tu móvil se le cobrará 4,50. Si su tono no llega, llame a atención al cliente 09065989182"
2,1956,1,1,0,caps text money text caps text contact text caps text,"¡URGENTE! ¡El sorteo del fin de semana pasado muestra que has ganado £1000 en efectivo o unas vacaciones en España! LLAMA YA 09050000332 para reclamar. Términos y condiciones: RSTM, SW7 3SS. 150 ppm"
2,1973,1,1,0,text contact text caps text caps text,"Estimado Matthew, llame al 09063440451 desde un teléfono fijo. Sus vacaciones 4*Lux Tenerife de cortesía o £ 1000 en EFECTIVO están a la espera de ser recogidos. ppm150 SAE T&C Box334 SK38XH."
2,1976,1,1,0,caps text caps caps text caps text caps text caps text,¡GUAU! Los chicos R regresan. TOMA ESA gira por el Reino Unido de 2007. Gana entradas VIP y reserva con antelación con VIP Club. Envíe un mensaje de texto con CLUB al 81303. Trackmarque Ltd info@vipclub4u.
2,1985,1,1,0,text caps text contact text,Participa gratis en 2 competiciones semanales para tener la oportunidad de ganar un iPod. Envíe un mensaje de texto POD al 80182 para obtener la entrada (tasa de texto estándar). Se aplican términos y condiciones al 08452810073 para obtener más detalles 18+
2,2010,1,1,0,caps text caps text contact caps text,"¡GRATIS durante la primera semana! No1 Nokia tone 4 tu móvil todas las semanas, solo envía un mensaje de texto a NOKIA al 8077. Envía mensajes de texto y cuéntaselo a tus compañeros. www.getzed.co.uk POBox 36504 W45WQ 16+ norma 150p/tono"
2,2019,1,1,0,text caps caps text caps text,¡No hay 1 tono POLIFÓNICO en tu mafia cada semana! Simplemente envíe un mensaje de texto con PT2 al 87575. ¡Primer tono GRATIS! Así que envíanos un mensaje de texto ahora y cuéntaselo a tus amigos. 150p/tono. 16 respuesta HL 4info
2,2025,1,1,0,text caps text contact,No olvide que puede realizar tantas solicitudes GRATUITAS en 1stchoice.co.uk como desee. Para más información llame al 08707808226.
2,2028,1,1,0,text caps text caps caps caps text caps text,"Cliente de Orange, ahora puede reclamar su actualización GRATUITA a TELÉFONO CON CÁMARA por su fidelidad. Llame ahora al 0207 153 9996. La oferta finaliza el 14 de marzo. Se aplican términos y condiciones. Optar por no participar disponible"
2,2029,1,1,0,text caps text money text caps caps text contact contact,"Entrada gratuita al concurso semanal de gr8prizes 4. Una oportunidad de ganar el último Nokia 8800, PSP o £250 en efectivo cada semana. TXT GREAT al 80878 http//www.gr8prizes.com 08715705022"
2,2030,1,1,0,text money text contact text,"Los números de Voda de hoy que terminan en 1225 se seleccionan para recibir un premio de £50. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamo 3100 aplicación de tarifas estándar"
2,2054,1,1,0,text contact text contact text,"Jovencitos, osos, cabrones, pieles y deportistas están llamando ahora. No te pierdas la diversión del fin de semana. Llame al 08712466669 a las 10p/min. 2 paradas de texto llama al 08712460324 (tarifa nat)"
2,2061,1,1,0,text caps text caps caps,"¿Conocerás pronto a la pareja de tus sueños? ¿Tu carrera desde 2 es un buen comienzo? 2 descúbrelo gratis, envía un mensaje de texto a HORO seguido de tu signo zodiacal, e. gramo. HORO ARIES"
2,2065,1,1,0,text caps contact text money text caps text money text caps,¡Una gran noticia! Llame a FREEFONE 08006344447 para reclamar su regalo garantizado de £1000 en EFECTIVO o £2000. ¡Hable con un operador en vivo AHORA!
2,2077,1,1,0,text caps caps text contact text,¿Quieres un nuevo teléfono con vídeo? 750 en cualquier momento y en minutos de red? ¿TEXTO ILIMITADO? ¿Videocámara? Responde o Llama ahora 08000930705 para del Sat AM
2,2087,1,1,0,text caps text caps text contact text,"Intentamos comunicarnos con usted sobre nuestra oferta del nuevo videoteléfono 750 en cualquier momento, en cualquier red, a minutos de MITAD DE PRECIO. Alquiler de videocámara, llame al 08000930705 o responda para la entrega el miércoles."
2,2089,1,1,0,text caps text caps text caps text,"Querido, has sido invitado a XCHAT. ¡Este es nuestro último intento de contactarte! Envíe CHAT por mensaje de texto al 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 años"
2,2091,1,1,0,text contact text caps text,"Estimado titular del cupón, 2 reclame la oferta de esta semana, en su PC vaya a http://www.e-tlp.co.uk/expressoffer Se aplican los términos y condiciones. 2 deténgase, envíe mensajes de texto con STOP al 80062."
2,2097,0,1,0,caps caps caps caps caps caps caps caps caps text caps caps caps caps caps caps text caps caps caps caps text caps text caps caps text caps,HOLA DARLIN ESPERO QUE HAYAS PASADO UNA BUENA NOCHE Desearía haber venido NO PUEDO ESPERAR PARA VERTE AMO FRAN PD: QUIERO SEXO ANAL SUCIO Y QUIERO UN GANG BANG DE 10 HOMBRES
2,2104,1,1,0,text caps caps text caps text money contact text contact text,"500 móviles nuevos de 2004, ¡DEBEN IRSE! Envía un mensaje de texto: NOKIA al número: 89545 y recoge el tuyo hoy. Desde SÓLO £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
2,2111,1,1,0,text contact text caps text caps caps text,Natalja (25/F) te invita a ser su amiga. Responde SÍ-440 o NO-440 Verla: www.SMS.ac/u/nat27081980 ¿PARAR? Enviar STOP FRND al 62468
2,2129,0,1,0,caps caps text caps text caps caps caps caps text caps text caps caps text caps caps text caps text caps text caps caps text caps,"FRAN DECIDÍ 2 SEGUIDO EL CAMINO ESTOY COMPLETAMENTE ROTO Y DESNUDO ME LEVANTÉ COMO 3 C U 2MRW AMOR JANX P.D. ESTE ES EL FONE DE MI PAPÁ, -SIN CRÉDITO"
2,2138,1,1,0,text caps text contact text caps caps text contact,"Tienes un admirador secreto. REVELA quién piensa que eres tan especial. Llame al 09065174042. Para cancelar su suscripción, responda REVEAL STOP. 1.50 por mensaje registrado. Atención al cliente 07821230901"
2,2139,1,1,0,text money text money text caps text contact text,"Enhorabuena, has recibido å£500 en vales de regalo en CD y entrada gratuita 2 a nuestro sorteo semanal de å£100 envía un mensaje de texto con MÚSICA a 87066 TnC www.Ldew.com 1 win150ppmx3age16"
2,2147,1,1,0,text contact text,Intentamos comunicarnos con usted para saber su respuesta a nuestra oferta de un nuevo teléfono Nokia y videocámara. Responda o llame al 08000930705 para la entrega.
2,2148,0,1,0,caps caps caps caps caps text caps caps caps caps caps caps caps text caps text caps caps text caps text caps caps text,¡¡ESTOY GONNAMISSU TANTO!! ¡¡DIRIA QUE TE ENVIARÉ UNA POSTAL PERO HAY MUCHAS POSIBILIDADES DE RECORDARME YA QUE OFRECE NO ROMPER SU CONTRATO!! LUV Yaxx
2,2164,1,1,0,caps text caps caps text caps text caps text contact,BONIFICACIÓN ESPECIAL HMV Se ganarán 500 libras de vales HMV genuinos. Simplemente responda 4 preguntas sencillas. ¡Reproducir ahora! Enviar HMV al 86688 Más información:www.100percent-real.com
2,2166,0,1,0,text caps caps text caps text caps text caps text caps,"Hazme daño... Bromea conmigo... Hazme llorar... Pero al final de mi vida, cuando muera, por favor guarda una rosa en mi tumba y di ESTÚPIDO, TE EXTRAÑO... TENGA UN BUEN DÍA BSLVYL"
2,2173,1,1,0,text caps text contact text,Entrada gratuita a 2 competiciones semanales para tener la oportunidad de ganar un iPod. Envíe un mensaje de texto POD al 80182 para obtener la entrada (tasa de texto estándar). Se aplican términos y condiciones al 08452810073 para obtener más detalles 18+
2,2175,1,1,0,text caps text contact text,"¡Por participar ayer en nuestra encuesta móvil! Ahora puedes tener 500 textos 2 y usarlos como quieras. 2 obtenga mensajes de texto, simplemente envíe TXT al 80160 T&C www.txt43.com 1.50p"
2,2180,1,1,0,text contact,Usted es un ganador U ha sido seleccionado especialmente 2 reciba £ 1000 en efectivo o unas vacaciones 4* (vuelos incluidos) hable con un operador en vivo 2 reclame 0871277810810
2,2187,1,1,0,text contact text,Entrada gratuita en 2 competiciones semanales para ganar los partidos de la final de la Copa FA el 21 de mayo de 2005. Envíe un mensaje de texto con FA al 87121 para recibir la pregunta de inscripción (tasa de texto estándar). Se aplican los términos y condiciones 08452810075 para mayores de 18 años.
2,2230,0,1,0,caps text caps text caps text caps caps text caps caps caps caps text caps caps text caps caps,"HOLA, ES JESS, NO SÉ SI ESTÁS EN EL TRABAJO PERO LLÁMAME CUANDO PUEDES, ESTOY EN CASA TODA LA NOCHE. XXX"
2,2232,0,1,0,text caps caps text caps text,"Proverbio japonés: Si uno puede hacerlo, tú también puedes hacerlo. Si nadie puede hacerlo, debes hacerlo. Versión india: Si uno puede hacerlo, ¡DÉJALO HACERLO! Si nadie puede hacerlo, ¡¡DÉJALO!! Y finalmente la versión de Kerala: Si uno puede hacerlo, impídale que lo haga. Si nadie puede hacerlo, ataque contra él..."
2,2241,1,1,0,caps text contact text contact text,¡PRIVADO! Su estado de cuenta de 2004 para 07742676969 muestra 786 puntos de bonificación no canjeados. Para reclamar llamar al 08719180248 Código Identificador: 45239 Caduca
2,2245,1,1,0,text contact text,"Esta es la segunda vez que intentamos contactarte. Has ganado el premio de 750 libras. 2 reclamar es fácil, llama al 08712101358 YA! Sólo 10 peniques por minuto. BT-tarifa-nacional"
2,2268,1,1,0,text caps caps text contact text,"Asusta a tu multitud con una colección de Halloween con un logotipo y un mensaje con una imagen, además de un tono espeluznante gratuito, envía un mensaje de texto con CARD SPOOK al 8007 zed 08701417012150p por logotipo/imagen"
2,2269,1,1,0,text contact text money text caps text caps text,"¡Urgente! llamar al 09061749602 desde Fijo. Sus vacaciones de 4* en Tenerife de cortesía o £10,000 en efectivo esperan su cobro SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
2,2272,1,1,0,text contact text caps text,¡Urgente! Por favor llame al 09061213237 desde teléfono fijo. £ 5000 en efectivo o unas vacaciones de lujo en las Islas Canarias de 4* esperan su recogida. Términos y condiciones SAE PO Box 177. M227XY. 150 ppm. 16+
2,2274,1,1,0,text money text contact,¡Especial del Día de San Valentín! ¡Gana más de £1000 en nuestro cuestionario y lleva a tu pareja al viaje de su vida! Envíe GO al 83600 ahora. 150p/mensaje grabado. Atención al cliente: 08718720201
2,2276,0,1,0,text money text,Tendrás que comprar una 0burguesa de $1 para ti de camino a casa. Ni siquiera puedo moverme. El dolor me está matando.
2,2278,1,1,0,text money text caps text caps text,¡Responde para ganar £100 por semana! ¿Dónde se celebrará la Copa Mundial de la FIFA 2006? Enviar STOP al 87239 para finalizar el servicio
2,2289,1,1,0,text caps text caps text caps caps caps text contact text caps text,"SU OPORTUNIDAD DE ESTAR EN UN REALITY FANTASY SHOW llame ahora = 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada nacional = tarifa."
2,2306,1,1,0,text caps text contact caps text,"¡Felicidades! Gracias a un buen amigo, has GANADO el premio de Navidad de £ 2000. 2 reclamar es fácil, ¡solo llama al 08718726971 AHORA! Sólo 10p por minuto. BT-tarifa-nacional."
2,2310,1,1,0,text caps caps text caps text money contact text contact text caps text,"Nuevos móviles de 2004, ¡DEBEN IRSE! Envía un mensaje de texto: NOKIA al número: 89545 y ¡recoge el tuyo hoy! Desde SÓLO £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCCIÓN."
2,2313,1,1,0,text caps caps text caps text caps text caps caps caps contact text caps text,"Envía un logo 2 ur lover - 2 nombres unidos por un corazón. Txt AMOR NOMBRE1 NOMBRE2 MOBNO, por ejemplo, AMOR ADAM EVE 07123456789 al 87077 Yahoo! POBox36504W45WQ TxtNO 4 sin anuncios 150p"
2,2316,0,1,0,caps caps caps text caps text caps text caps caps text caps text caps text caps caps caps caps,HOLA DARLIN TERMINO A LAS 3 ¿TU 1 2 ME RECOGER O ENCONTRARME? ENVÍA UN TEXTO A ESTE NÚMERO LUV KATE XXX
2,2330,0,1,0,text caps text caps text caps text,"Protéjase de las amenazas electrónicas. SIB nunca solicita información confidencial como contraseñas, PIN de cajero automático/SMS a través del correo electrónico. Nunca compartas tu contraseña con nadie."
2,2344,1,1,0,text caps text contact text,"Teléfonos con cámara GRATIS con alquiler lineal desde 4,49/mes con 750 minutos cruzados ntwk. Ofertas de paquetes de txt de 1/2 precio también disponibles. Llame al 08001950382 o llame a2optout/J MF"
2,2345,1,1,0,caps text money caps text contact text,¡URGENTE! Estamos intentando comunicarnos con U. El sorteo de hoy muestra que usted ganó un premio de £800 GARANTIZADO. Llamar al 09050000460 desde teléfono fijo. Reclama J89. apartado postal 245c2150pm
2,2354,1,1,0,text contact,¿Quiere que le entreguen mañana el nuevo teléfono Nokia 3510i en color? Con 300 minutos gratis a cualquier móvil + 100 mensajes de texto gratis + Videocámara Gratis responde o llama al 08000930705.
2,2358,1,1,0,text contact caps text,"¡Has sido seleccionado especialmente para recibir un premio de \3000! Llama al 08712402050 ANTES de que cierren las líneas. Cuesta 10 ppm. 16+. Se aplican términos y condiciones. Promoción AG"""
2,2362,1,1,0,caps text caps text contact caps text,¡GRATIS durante la primera semana! No1 Nokia tono 4 tu mafia todas las semanas solo envía un mensaje de texto a NOKIA al 8007 Recibe mensajes de texto y cuéntaselo a tus compañeros www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
2,2363,1,1,0,text caps text caps caps text caps caps text caps caps caps caps text caps text,"Gr8 Poly tonos 4 TODOS los mobs responden directamente en 2u con POLY TITLE a 8007, por ejemplo, POLY BREATHE1 Títulos: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
2,2375,1,1,0,text caps text contact caps text,"Alguien que conoces ha solicitado nuestro servicio de citas. ¡Contáctate! ¿No puedo adivinar quién? LLAME AL 09058095107 AHORA todo será revelado. Apartado postal 7, S3XY 150p"
2,2383,1,1,0,text money,"¡Ay dios mío! ¡He encontrado tu número otra vez! Me alegro mucho, envíame un mensaje de texto después de este mensaje cst std ntwk chg £1.50"
2,2397,1,1,0,caps text caps text caps text contact caps caps text,¡URGENTE! ¡Has ganado una membresía GRATUITA de 1 semana en nuestro premio mayor de £ 100 000! Envíe un mensaje de texto con la palabra: RECLAMACIÓN al número: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
2,2406,1,1,0,text contact text caps caps caps caps caps,información importante 4 usuario naranja . ¡Hoy es tu día de suerte! 2 Descubre por qué inicia sesión en http://www.urawinner.com ¡TE ESPERA UNA FANTÁSTICA SORPRESA!
2,2420,1,1,0,caps text caps text contact text,URGENTE Estamos intentando comunicarnos con usted El sorteo del fin de semana pasado muestra que ganó un premio de £ 1000 GARANTIZADO Llame al 09064017295 Código de reclamo K52 Válido 12 horas 150 p. m.
2,2423,1,1,0,text caps text caps caps caps text caps text,"Cliente de UpgrdCentre Orange, ahora puede reclamar su actualización GRATUITA a TELÉFONO CON CÁMARA por su fidelidad. Llame ahora al 0207 153 9153. La oferta finaliza el 26 de julio. Se aplican términos y condiciones. Optar por no participar disponible"
2,2430,1,1,0,text caps text caps caps text money text caps text caps text contact text caps contact text,"Has ganado boletos para la FINAL DE LA COPA EURO2004 o å£800 EN EFECTIVO, para cobrar LLAME AL 09058099801 b4190604, POBOX 7876150ppm"
2,2449,1,1,0,caps caps text caps text caps text contact,MENSAJE GRATIS Activa tus 500 Mensajes de Texto GRATIS respondiendo este mensaje con la palabra GRATIS Para términos y condiciones visita www.07781482378.com
2,2475,1,1,0,caps text caps text contact caps text,"¡GRATIS durante la primera semana! No1 Nokia tone 4 tu móvil todas las semanas, solo envía un mensaje de texto a NOKIA al 8077. Envía mensajes de texto y cuéntaselo a tus compañeros. www.getzed.co.uk POBox 36504 W45WQ 16+ norma 150p/tono"
2,2478,0,1,0,text caps caps caps text caps text caps caps caps text caps text caps text caps text caps caps text caps text,"¡Estoy bien, chicas, no he estado arriba por mucho tiempo! ¡VI UNA PELÍCULA DE MIEDO Y ES MUY DIVERTIDA! ¿QUIERES 2MRW POR LA TARDE? ¿EN LA CIUDAD, EL CENTRO COMERCIAL O SUMTHIN?xx"
2,2486,1,1,0,text caps text caps text caps text,"¡Los veranos finalmente aquí! ¿Te apetece charlar o coquetear con solteros sexis de tu zona? Para EMPAREJARSE, simplemente responda VERANO ahora. Gratis 2 Únete. Optar por no participar txt DETENER Ayuda08714742804"
2,2490,1,1,0,text contact text caps text caps text,"¡Urgente! llama al 09066350750 desde tu teléfono fijo. Sus vacaciones en Ibiza 4* de cortesía o 10,000 en efectivo esperan su cobro Términos y condiciones de SAE PO BOX 434 SK3 8WP 150 ppm 18+"
2,2495,1,1,0,text caps text caps text caps text caps text caps caps text money,"¡Bien hecho INGLATERRA! ¡Obtén el tono de llamada oficial de Poly o la bandera de color en tu móvil! ¡Envíe un mensaje de texto con TONO o BANDERA al 84199 AHORA! Optar por no participar txt ENG STOP. Caja39822 W111WX €1,50"
2,2497,1,1,0,caps caps caps caps text caps text money text contact text,¡ESTÁ ELEGIDO PARA RECIBIR UN PREMIO DE £350! Llame al número de reclamo 09066364311 para cobrar el premio que ha sido seleccionado para recibir como un valioso cliente móvil.
2,2504,1,1,0,text caps text contact text,¿Quieres SEXO explícito en 30 segundos? Llama al 02073162414 ahora! Cuesta 20p/min
2,2518,1,1,0,text contact text caps text,¡Felicitaciones! El teléfono con cámara de video Nokia 3650 es tu Llamada 09066382422 Las llamadas cuestan 150 ppm Llamada promedio 3 minutos varían desde móviles 16+ Cerrar 300603 post BCM4284 Ldn WC1N3XX
2,2525,1,1,0,text caps contact text money text caps text money text caps,¡Una gran noticia! Llame a FREEFONE 08006344447 para reclamar su regalo garantizado de £1000 en EFECTIVO o £2000. ¡Hable con un operador en vivo AHORA!
2,2526,1,1,0,caps text caps text caps text contact text caps text,"¡URGENTE! ¡Su móvil número 077xxx GANÓ un premio adicional de £ 2000 para llamadas el 06/02/03! ¡Este es el segundo intento de comunicarnos con USTED! ¡Llame al 09066362206 lo antes posible! CAJA97N7QP, 150 ppm"
2,2528,1,1,0,caps text caps money caps,DESDE 88066 PERDIDO £12 AYUDA
2,2544,1,1,0,text caps caps caps caps text caps text money text money text contact,¡TE ESTÁ ESPERANDO UNA RECOMPENSA DE NAVIDAD DE £400! Nuestra computadora lo ha seleccionado al azar entre nuestros leales clientes de telefonía móvil para recibir una recompensa de £400. Solo llama al 09066380611
2,2550,0,1,0,text caps text caps caps text,"Sí, si tenemos que conseguir un tipo al azar, debemos cambiar nuestras hojas de información a PARTY &lt;#&gt; /7 NUNCA ESTUDIES sólo para estar seguro"
2,2556,0,1,0,caps caps caps text,DURO PERO VERDADERO: ¿Cuánto muestras y demuestras? expresa tu amor a alguien....tanto te dolerá cuando te dejen o te separes...!ö´Ó_??Û¬ud noche...
2,2559,1,1,0,caps caps text caps text,SUBASTA SMS Has ganado un Nokia 7250i. Esto es lo que obtienes cuando ganas nuestra subasta GRATUITA. Para participar envía Nokia al 86021 ahora. HG/Suite342/2Lands Row/W1JHL 16+
2,2560,1,1,0,text money text caps text contact,Está suscrito al mejor servicio de contenido móvil del Reino Unido por £3 cada diez días hasta que envíe STOP al 83435. Línea de ayuda 08706091795.
2,2586,1,1,0,text caps text contact,¡Buena suerte! El sorteo se realizará el 28 de febrero de 2006. ¡Buena suerte! Para eliminación envíe STOP al 87239 atención al cliente 08708034412
2,2603,1,1,0,caps caps text contact text,MENSAJE IMPORTANTE. Este es un último intento de contacto. Tiene mensajes importantes esperando en nuestro departamento de reclamos de clientes. Vence el 13/4/04. ¡Llame 08717507382 YA!
2,2615,1,1,0,text contact,88800 y 89034 son servicios telefónicos premium llama al 08718711108
2,2621,1,1,0,text contact text caps text,Urgente Por favor llamar al 09066612661 desde teléfono fijo. £ 5000 en efectivo o unas vacaciones de lujo en las Islas Canarias de 4* esperan su recogida. Premio T&Cs SAE. 20M12AQ. 150 ppm. 16+ ÛÏ
2,2625,1,1,0,caps text caps text contact text,¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08715203685 Código Identificador:4xx26 Vence el 13/10/04
2,2629,1,1,0,text caps text caps text caps text contact text,Panasonic y BluetoothHdset GRATIS. Nokia GRATIS. Motorola GRATIS y DoubleMins y DoubleTxt en contrato Orange. Llame a MobileUpd8 al 08000839402 o llame a 2optout
2,2636,1,1,0,caps caps text caps text,"JUEGO GRATIS. Obtén Rayman Golf 4 GRATIS en O2 Games Arcade. Primero obtenga la configuración de juegos UR. Responda la publicación, luego guarde y active8. Presione la tecla 0 para Arcade. Se aplican términos"
2,2659,0,1,0,text caps caps caps caps caps text caps,¿QUÉ DESCUENTO PARA ESTUDIANTES PUEDES OBTENER EN LIBROS?
2,2694,1,1,0,text contact text contact text,¡Te están estafando! Obtén tu contenido móvil desde www.clubmoby.com llama al 08717509990 poly/true/Pix/Ringtones/Games seis descargas por solo 3
2,2706,1,1,0,text contact text caps text caps caps text,Natalie (20/F) te invita a ser su amiga. Responda SÍ-165 o NO-165 Verla: www.SMS.ac/u/natalie2k9 ¿PARAR? Enviar STOP FRND al 62468
2,2709,0,1,0,text caps text caps caps text,"El hermoso mañana nunca llega.. Cuando llega, ya es HOY.. En la búsqueda del hermoso mañana no desperdicies tu maravilloso HOY.. BUENOS DÍAS :)"
2,2716,0,1,0,caps caps caps text caps caps caps text caps text caps caps caps text caps caps caps text caps text caps text caps caps caps caps caps,"\ ¡ABUCHEO BEBÉ! ¿DISFRUTAS DE TU TRABAJO? ¡PARECE QUE 2 B TE ESTÁS PONIENDO BIEN CARIÑO! ESPERO QUE ESTÉS BIEN? CUÍDATE Y HABLARÉ PRONTO MUCHO AMORME XXXX.\"""""
2,2749,1,1,0,text caps caps text caps text,"¿Te apetece un polvo? Sí. ¿Interesado? sextextuk.com envía un mensaje de texto a XXUK SUZY al 69876. Los mensajes de texto cuestan 1,50 por mensaje. ETN en el sitio web. X"
2,2757,1,1,0,caps text contact text contact text,RT-KIng Pro Video Club>> ¿Necesitas ayuda? info@ringtoneking.co.uk o llame al 08701237397 ¡Debe tener más de 16 años de créditos del Club canjeables en www.ringtoneking.co.uk! ¡Disfrutar!
2,2765,1,1,0,text caps caps text contact text,"Asusta a tu multitud con una colección de Halloween con un logotipo y un mensaje con una imagen, además de un tono espeluznante gratuito, envía un mensaje de texto con CARD SPOOK al 8007 zed 08701417012150p por logotipo/imagen"
2,2787,0,1,0,text caps text caps caps,Tenga en cuenta: si alguien llama desde un teléfono móvil Co. &amp; le pide que escriba # &lt;#&gt; o # &lt;#&gt; . No lo hagas. Desconecta la llamada porque es un intento de 'terrorista' de hacer uso de la tarjeta SIM no. Itz confirmado por Nokia y Motorola y ha sido verificado por CNN IBN.
2,2789,1,1,0,text caps text money text contact text,"Hola, soy Mandy Sullivan llamando desde HOTMIX FM... has sido elegido para recibir £5000,00 en nuestro sorteo de premios de Pascua... Llama al 09041940223 para reclamar antes del 29/03/05 o tu premio se transferirá a alguien. demás...."
2,2814,0,1,0,text caps text caps text caps text caps,"¡Por fin ha sucedido..! ¡Después de décadas...! ¡La CERVEZA ahora es más barata que la GASOLINA! El gobierno espera que \""BEBA\"""". . . Pero no \""CONDUZCA\"""""
2,2835,1,1,0,caps text money text money text caps text contact,GANA un suministro anual de CD 4 una tienda de tu elección valorada en £500 y participa en nuestro sorteo semanal de £100 envía un mensaje de texto con MÚSICA al 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
2,2837,0,1,0,caps caps caps caps text caps text caps caps caps,"HOLA, KATE, ¿PUEDES DARME UN ANILLO LO ANTES POSIBLE XXX?"
2,2838,1,1,0,caps caps text money text contact text caps text caps text money text,"¡BIEN HECHO! Sus vacaciones de 4* en la Costa del Sol o å£5000 esperan ser recogidas. Llama al 09050090044 Ahora para Reclamar. SAE, TC, POBox334, Stockport, SK38xh, Coste £1,50/pm, Max10mins"
2,2855,0,1,0,caps caps caps text caps text caps caps text caps text caps caps text caps caps text caps text caps caps text caps text caps caps caps caps caps caps,HIYA STU WOT U UP 2.ESTOY EN TANTOS PROBLEMAS EN CASA EN EL MOMENTO EVONE ME ODIA INCLUSO U! ¿QUÉ DEMONIOS HE HECHO AHORA? Y NO ME DIRÁS TEXTO BCK POR FAVOR LUV DAN
2,2857,1,1,0,caps text caps text contact text,¡PRIVADO! Su estado de cuenta de 2003 muestra 800 puntos SIM no canjeados. Llamar 08718738002 Código Identificador: 48922 Vence el 21/11/04
2,2858,1,1,0,caps text contact text caps text money text,"CLAIRE, aquí estoy pasando un rato aburrido y ahora estoy sola. ¿Quieres correrte durante una segunda noche? Chatear ahora 09099725823 esperanza 2 C U Luv CLAIRE xx Llamadaså£1/minmoremobsEMSPOBox45PO139WA"
2,2865,1,1,0,text caps text money text contact text,"Felicitaciones, HAS Ganado. Eres un ganador en nuestro sorteo de premios de £1000 de agosto. Llama 09066660100 YA. Código de premio 2309."
2,2878,1,1,0,caps text caps caps,SMS. ac Sptv: Los New Jersey Devils y los Detroit Red Wings juegan hockey sobre hielo. ¿Correcto o Incorrecto? ¿Fin? Responder FINALIZAR SPTV
2,2882,1,1,0,text caps text caps text caps text contact,"Entrada GRATUITA a nuestra competición semanal de £ 250, simplemente envíe la palabra WIN al 80086 AHORA. 18 Términos y condiciones www.txttowin.co.uk"
2,2884,1,1,0,text caps text caps text caps text contact,¿Quiere que le entreguen mañana un nuevo teléfono Nokia 3510i en color? Con 200 minutos GRATIS a cualquier móvil + 100 mensajes de texto GRATIS + videocámara GRATIS Responde o Llama al 8000930705
2,2885,1,1,0,caps text caps text contact text caps text contact caps text,"SERVICIOS DE SMS. Para obtener créditos de texto incluidos, vaya a www.comuk.net login= 3qxj9 cancelar la suscripción con STOP, sin cargo adicional. ayuda 08702840625.COMUK. 220-CM2 9AE"
2,2887,1,1,0,text caps text contact text,Alquiler de línea naranja por 4 meses a mitad de precio y los últimos teléfonos con cámara 4 GRATIS. ¿Tuviste tu teléfono hace más de 11 meses? ¡Llame a MobilesDirect gratis al 08000938767 para actualizar ahora! Términos y condiciones de or2stoptxt
2,2890,1,1,0,text caps money text caps text caps text contact text,"Puedes GANAR £100 en vales de regalo de música cada semana a partir de AHORA Envía un mensaje de texto con la palabra SORTEO a 87066 TsCs www.Idew.com SkillGame, 1Winaweek, 16 años. 150ppermessSuscripción"
2,2904,0,1,0,text caps caps text caps,NO TARDES AMO A MAMÁ
2,2905,0,1,0,caps text caps text caps caps text,¡¡GRACIAS 4 PUTTIN DA FONE SOBRE MÍ!!
2,2911,0,1,0,caps caps text caps caps caps,¡HOLA PEACH! ¡MI PASTEL SUE EXUBERANTE!
2,2914,1,1,0,text caps caps caps text,¡Faltan 22 días para arrancar! Para la Euro2004 U se mantendrá actualizado diariamente con las últimas noticias y resultados. Para ser eliminado envíe GET TXT STOP al 83222
2,2921,1,1,0,text contact text,Cámara: ¡recibes una cámara digital SiPix! llamar al 09061221066 desde teléfono fijo. Entrega en 28 días.
2,2924,0,1,0,text caps text caps caps text caps caps text caps caps caps caps text,"¿Sabes qué es la AMISTAD rael? Te estoy dando un ejemplo: Sólo ese mensaje.. Todo el texto de este mensaje está mal.. Por cierto, puedes leerlo sin ningún error.. BUENAS NOCHES y amigos. QUE TENGAS UN BUEN DORMIR..DULCES SUEÑOS.."
2,2927,1,1,0,text caps text contact text,"Doble Mins y 1000 txts en tarifas Orange. ¡Lo último de Motorola, SonyEricsson y Nokia con Bluetooth GRATIS! Llame a MobileUpd8 al 08000839402 o call2optout/HF8"
